GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-template,pt.ipp.isep.dei.esoft.project.mapper,StoreMapper,193,0,6,0,39,0,11,0,8,0
project-template,pt.ipp.isep.dei.esoft.project.mapper,AnnouncementMapper,649,0,12,0,134,0,27,0,21,0
project-template,pt.ipp.isep.dei.esoft.project.mapper,PropertyMapper,338,179,2,2,68,32,14,8,13,7
project-template,pt.ipp.isep.dei.esoft.project.mapper,PairMapper,19,0,0,0,3,0,3,0,3,0
project-template,pt.ipp.isep.dei.esoft.project.mapper,VisitRequestMapper,49,411,4,6,9,77,5,17,2,15
project-template,pt.ipp.isep.dei.esoft.project.mapper,EmployeeMapper,265,0,4,0,65,0,12,0,10,0
project-template,pt.ipp.isep.dei.esoft.project.mapper,ClientMapper,113,0,2,0,25,0,7,0,6,0
project-template,pt.ipp.isep.dei.esoft.project.mapper,AnnouncementRequestMapper,843,0,14,0,166,0,38,0,31,0
project-template,pt.ipp.isep.dei.esoft.project.repository,PropertyTypeRepository,34,45,7,3,8,12,6,4,1,4
project-template,pt.ipp.isep.dei.esoft.project.repository,Repositories,3,130,0,0,1,34,1,18,1,18
project-template,pt.ipp.isep.dei.esoft.project.repository,PriceRangeComparator,4,32,2,2,2,10,2,2,0,2
project-template,pt.ipp.isep.dei.esoft.project.repository,TaskCategoryRepository,0,79,0,10,0,20,0,10,0,5
project-template,pt.ipp.isep.dei.esoft.project.repository,ClientRepository,38,113,0,12,8,28,2,12,2,6
project-template,pt.ipp.isep.dei.esoft.project.repository,OrganizationRepository,82,8,14,0,22,2,11,1,4,1
project-template,pt.ipp.isep.dei.esoft.project.repository,EmployeeRepository,108,318,16,28,26,77,13,25,4,12
project-template,pt.ipp.isep.dei.esoft.project.repository,DateComparator,23,0,4,0,8,0,4,0,2,0
project-template,pt.ipp.isep.dei.esoft.project.repository,AuthenticationRepository,21,24,0,0,5,4,4,3,4,3
